EcoTypeID,VegID,ShrubSpecFrac
5284,GFShrub,1
5285,GFShrub,1
5286,GFShrub,1
5287,GFShrub,1
5288,GFShrub,1
5289,GFShrub,1
5290,GFShrub,1
5291,GFShrub,1
5292,GFShrub,1
5293,GFShrub,1
5294,GFShrub,1
5295,GFShrub,1
5296,GFShrub,1
5297,GFShrub,1
5298,GFShrub,1
5299,GFShrub,1
5300,GFShrub,1
5301,GFShrub,1
5302,GFShrub,1
5303,GFShrub,1
5304,GFShrub,1
5305,GFShrub,1
5306,GFShrub,1
5307,GFShrub,1
5308,GFShrub,1
5309,GFShrub,1
5310,GFShrub,1
5311,GFShrub,1
5312,GFShrub,1
5313,GFShrub,1
5314,GFShrub,1
5315,GFShrub,1
5316,GFShrub,1
5317,GFShrub,1
5318,GFShrub,1
5319,GFShrub,1
5320,GFShrub,1
5321,GFShrub,1
5322,GFShrub,1
5323,GFShrub,1
5324,GFShrub,1
5325,GFShrub,1
5326,GFShrub,1
5327,GFShrub,1
5328,GFShrub,1
5329,GFShrub,1
5330,GFShrub,1
5331,GFShrub,1
5332,GFShrub,1
5333,GFShrub,1
5334,GFShrub,1
5335,GFShrub,1
5336,GFShrub,1
5337,GFShrub,1
5338,GFShrub,1
5339,GFShrub,1
5340,GFShrub,1
5341,GFShrub,1
5342,GFShrub,1
5343,GFShrub,1
5344,GFShrub,1
5345,GFShrub,1
5346,GFShrub,1
5347,GFShrub,1
5348,GFShrub,1
5349,GFShrub,1
5350,GFShrub,1
5351,GFShrub,1
5352,GFShrub,1
5353,GFShrub,1
5354,GFShrub,1
5355,GFShrub,1
5356,GFShrub,1
5357,GFShrub,1
5358,GFShrub,1
5359,GFShrub,1
5360,GFShrub,1
5361,GFShrub,1
5362,GFShrub,1
5363,GFShrub,1
5364,GFShrub,1
5365,GFShrub,1
5366,GFShrub,1
5367,GFShrub,1
5368,GFShrub,1
5369,GFShrub,1
5370,GFShrub,1
5371,GFShrub,1
5372,GFShrub,1
5373,GFShrub,1
5374,GFShrub,1
5375,GFShrub,1
5376,GFShrub,1
5377,GFShrub,1
5378,GFShrub,1
5379,GFShrub,1
5380,GFShrub,1
5381,GFShrub,1
5382,GFShrub,1
5383,GFShrub,1
5384,GFShrub,1
5385,GFShrub,1
5386,GFShrub,1
5387,GFShrub,1
5388,GFShrub,1
5389,GFShrub,1
5390,GFShrub,1
5391,GFShrub,1
5392,GFShrub,1
5393,GFShrub,1
5394,GFShrub,1
5395,GFShrub,1
5396,GFShrub,1
5397,GFShrub,1
5398,GFShrub,1
5399,GFShrub,1
5400,GFShrub,1
5401,GFShrub,1
5402,GFShrub,1
5403,GFShrub,1
5404,GFShrub,1
5405,GFShrub,1
5406,GFShrub,1
5407,GFShrub,1
5408,GFShrub,1
5409,GFShrub,1
5410,GFShrub,1
5411,GFShrub,1
5412,GFShrub,1
5413,GFShrub,1
5414,GFShrub,1
5415,GFShrub,1
5416,GFShrub,1
5417,GFShrub,1
5418,GFShrub,1
5419,GFShrub,1
5420,GFShrub,1
5421,GFShrub,1
5422,GFShrub,1
5423,GFShrub,1
5424,GFShrub,1
5425,GFShrub,1
5426,GFShrub,1
5427,GFShrub,1
5428,GFShrub,1
5429,GFShrub,1
5430,GFShrub,1
5431,GFShrub,1
5432,GFShrub,1
5433,GFShrub,1
5434,GFShrub,1
5435,GFShrub,1
5436,GFShrub,1
5437,GFShrub,1
5438,GFShrub,1
5439,GFShrub,1
5440,GFShrub,1
5441,GFShrub,1
5442,GFShrub,1
5443,GFShrub,1
5444,GFShrub,1
5445,GFShrub,1
5446,GFShrub,1
5447,GFShrub,1
5448,GFShrub,1
5449,GFShrub,1
5450,GFShrub,1
5451,GFShrub,1
